city_id,city_name,Jan,Feb,Mar,Apr,May,Jun,total_RPR,RPR_Category
GJ01,Surat,32.7434,36.8096,43.4302,45.6983,49.9223,49.1749,257.7787,Top
UP01,Lucknow,29.2279,31.9776,33.926,39.296,47.6627,46.7009,228.7911,Top
MP01,Indore,26.6512,27.7066,28.4633,35.5184,43.5255,35.882,197.747,NULL
GJ02,Vadodara,20.6608,22.1335,30.0952,34.4938,38.4752,38.9043,184.7628,NULL
AP01,Visakhapatnam,20.5501,24.9211,29.8416,34.9665,32.9066,29.6817,172.8676,NULL
TN01,Coimbatore,17.7055,17.3608,21.7303,27.8746,32.6636,24.6929,142.0277,NULL
KL01,Kochi,14.0459,18.7081,21.6964,24.1903,29.7814,25.8374,134.2595,NULL
CH01,Chandigarh,15.5172,17.208,21.2683,24.0183,26.1963,26.2966,130.5047,NULL
RJ01,Jaipur,12.0051,13.3414,19.8768,22.0978,25.6761,16.9781,109.9753,Bottom
KA01,Mysore,8.0789,7.9913,9.4804,11.39,15.3744,14.9342,67.2492,Bottom
